@relation weather
@attribute temperature real
@attribute humidity real
@attribute pressure real
@attribute luminosity real
@data
36,42,85404.00,5622
36,41,85402.00,6139
37,40,85401.00,5622
36,41,85403.00,5622
36,41,85405.00,5622
36,42,85403.00,5622
36,48,85406.00,5622
37,38,85407.00,5622
37,40,85407.00,5622
36,41,85409.00,5184
37,38,85408.00,5184
37,39,85412.00,6139
36,41,85410.00,6139
36,41,85410.00,5184
36,42,85412.00,6139
36,41,85408.00,6760
36,41,85413.00,6139
36,41,85410.00,5184
37,40,85410.00,5184
37,40,85413.00,5622
36,41,85414.00,5622
37,40,85416.00,4809
37,36,85420.00,5184
36,38,85412.00,5622
36,41,85415.00,5184
36,41,85418.00,5622
36,43,85414.00,5184
36,41,85413.00,5184
36,41,85410.00,5184
36,41,85404.00,5622
36,41,85408.00,5622
36,41,85411.00,5622
36,41,85410.00,5184
36,41,85404.00,5184
36,41,85400.00,5622
36,41,85404.00,5184
36,41,85396.00,5622
36,41,85402.00,5622
35,41,85400.00,6760
35,41,85393.00,5622
35,41,85390.00,5622
35,41,85401.00,5622
36,41,85388.00,5622
35,41,85402.00,5622
36,42,85395.00,5622
36,41,85391.00,5622
36,41,85396.00,5622
36,41,85394.00,6139
36,41,85399.00,6139
36,42,85388.00,5622
36,41,85397.00,5622
36,41,85395.00,5622
36,42,85401.00,6139
37,41,85395.00,5622
37,40,85394.00,5622
37,40,85390.00,5184
37,40,85391.00,5622
37,40,85394.00,5622
37,40,85393.00,5622
37,42,85394.00,4809
38,40,85390.00,5622
37,37,85395.00,6139
37,40,85394.00,6760
37,40,85389.00,6139
37,40,85386.00,6139
37,40,85391.00,5622
37,40,85392.00,5622
37,40,85390.00,6760
37,40,85387.00,5622
37,40,85389.00,6139
37,40,85380.00,5622
37,40,85386.00,6139
37,40,85387.00,5622
38,37,85385.00,6139
38,40,85385.00,5622
38,40,85389.00,6139
38,40,85382.00,5622
38,40,85382.00,5622
38,40,85381.00,5622
38,40,85385.00,5622
38,40,85381.00,5622
38,36,85378.00,6139
38,40,85386.00,6139
38,39,85376.00,5622
38,38,85378.00,5622
38,40,85378.00,5622
38,40,85377.00,6139
38,40,85380.00,6139
38,40,85381.00,6139
38,40,85385.00,5622
38,33,85384.00,6139
38,34,85384.00,5622
38,40,85383.00,5622
38,40,85381.00,6139
38,40,85381.00,6139
38,35,85387.00,5622
38,35,85382.00,6760
38,34,85385.00,6760
38,35,85385.00,5622
38,40,85403.00,5622
38,40,85406.00,5622
38,40,85415.00,6139
37,40,85412.00,5622
38,41,85409.00,5622
38,40,85414.00,6139
38,41,85406.00,6139
38,42,85409.00,6139
39,41,85409.00,5622
40,39,85413.00,5622
38,40,85415.00,2664
38,40,85406.00,5622
39,39,85412.00,5622
38,40,85408.00,5622
41,40,85408.00,5622
39,39,85414.00,5184
38,40,85413.00,5622
38,40,85412.00,6139
41,38,85413.00,5622
39,39,85415.00,6139
39,39,85412.00,5622
39,39,85417.00,5184
39,39,85413.00,6139
39,39,85411.00,6139
39,34,85412.00,5184
39,39,85406.00,5622
39,39,85402.00,5622
39,39,85404.00,5622
39,34,85409.00,6139
39,39,85409.00,5622
39,39,85409.00,5622
39,39,85412.00,5184
39,39,85402.00,6139
38,40,85407.00,5622
39,37,85405.00,5184
38,40,85405.00,5184
38,40,85406.00,5622
38,40,85406.00,6139
38,40,85406.00,5622
39,39,85408.00,6139
38,40,85402.00,5622
38,40,85405.00,5184
38,40,85405.00,6139
38,41,85400.00,5622
38,40,85404.00,5622
38,40,85405.00,6139
40,40,85401.00,5622
39,41,85401.00,5184
39,42,85401.00,5184
38,40,85406.00,5184
39,39,85407.00,5622
38,40,85402.00,5622
38,36,85411.00,5622
38,35,85402.00,5184
38,37,85403.00,5184
38,40,85400.00,5184
38,40,85398.00,5184
38,35,85401.00,5184
38,36,85396.00,5184
38,39,85404.00,5184
38,35,85401.00,5622
38,36,85398.00,6139
38,35,85397.00,5622
38,34,85391.00,5622
38,34,85398.00,5622
35,28,85397.00,6139
37,33,85396.00,5184
37,34,85397.00,5622
37,40,85393.00,5622
37,35,85391.00,5622
37,34,85396.00,5622
37,42,85394.00,6139
37,40,85393.00,5184
37,40,85396.00,6139
37,40,85400.00,5184
37,36,85399.00,5184
37,37,85398.00,5184
37,40,85395.00,5184
37,35,85396.00,5184
37,41,85397.00,5622
37,40,85396.00,5622
36,41,85400.00,5622
36,41,85390.00,5622
37,40,85400.00,5622
37,40,85401.00,5622
37,37,85398.00,5622
37,40,85397.00,5184
37,40,85398.00,5622
37,40,85397.00,5184
36,41,85403.00,5184
37,40,85398.00,5184
36,41,85400.00,5184
37,38,85391.00,5184
37,36,85397.00,6139
36,41,85395.00,5184
36,41,85397.00,5622
36,41,85398.00,5184
36,41,85400.00,5184
36,41,85404.00,5184
36,42,85396.00,5184
36,41,85398.00,5184
37,40,85394.00,5622
36,41,85402.00,5622
36,41,85400.00,5622
