@relation weather
@attribute temperature real
@attribute humidity real
@attribute pressure real
@attribute luminosity real
@data
34,56,85399.00,7518
34,56,85397.00,8466
34,56,85395.00,7518
34,56,85398.00,8466
34,55,85411.00,6760
34,55,85410.00,6139
34,55,85411.00,6139
34,55,85406.00,7518
34,55,85399.00,6760
34,54,85406.00,6760
34,55,85402.00,7518
34,51,85389.00,7518
33,52,85397.00,8466
34,55,85398.00,8466
33,56,85395.00,7518
33,53,85393.00,7518
34,55,85394.00,9685
34,55,85384.00,7518
33,52,85400.00,6760
34,52,85392.00,8466
34,54,85402.00,7518
35,54,85398.00,8466
34,55,85404.00,6760
34,56,85398.00,7518
34,56,85396.00,8466
34,53,85406.00,6760
34,55,85406.00,6760
35,53,85412.00,7518
35,55,85390.00,7518
35,52,85387.00,7518
35,54,85401.00,6760
35,51,85394.00,7518
35,51,85402.00,6760
35,50,85387.00,6760
35,50,85390.00,7518
35,51,85394.00,6760
35,51,85401.00,7518
35,48,85407.00,6760
35,47,85408.00,6139
34,52,85411.00,6139
34,51,85408.00,7518
34,51,85397.00,7518
34,50,85397.00,7518
34,53,85400.00,6760
34,52,85402.00,6139
34,53,85395.00,6760
34,56,85396.00,6760
33,51,85401.00,6760
34,50,85402.00,8466
34,51,85391.00,6760
33,50,85396.00,6760
34,51,85386.00,6760
33,51,85392.00,6760
33,53,85390.00,8466
33,51,85387.00,8466
33,52,85376.00,8466
33,54,85373.00,8466
33,52,85375.00,8466
33,52,85384.00,7518
33,55,85383.00,7518
33,55,85386.00,7518
33,55,85385.00,7518
33,56,85384.00,7518
33,55,85386.00,6760
33,52,85387.00,7518
34,52,85369.00,7518
33,52,85368.00,8466
34,53,85372.00,7518
34,56,85369.00,7518
34,51,85370.00,7518
34,53,85365.00,8466
34,52,85369.00,7518
34,53,85379.00,8466
35,52,85375.00,7518
34,57,85371.00,8466
34,55,85371.00,7518
34,56,85370.00,8466
34,56,85378.00,7518
34,55,85391.00,6760
35,54,85380.00,6760
34,54,85372.00,8466
35,54,85368.00,9685
35,55,85368.00,8466
35,55,85370.00,7518
34,54,85378.00,7518
35,50,85380.00,8466
35,53,85377.00,6760
35,53,85382.00,6139
35,53,85382.00,8466
35,52,85372.00,8466
35,51,85373.00,7518
36,54,85375.00,8466
35,52,85374.00,6760
35,52,85378.00,6760
35,51,85384.00,6760
35,48,85379.00,6760
35,49,85380.00,6760
35,46,85378.00,6760
35,49,85374.00,7518
35,51,85370.00,7518
35,52,85365.00,7518
35,51,85367.00,7518
35,49,85365.00,7518
35,48,85371.00,7518
35,49,85372.00,7518
35,51,85377.00,7518
35,52,85381.00,6760
35,49,85383.00,6760
35,50,85384.00,6139
35,50,85379.00,7518
34,51,85368.00,8466
35,49,85372.00,7518
34,51,85366.00,7518
34,51,85352.00,8466
34,52,85356.00,7518
38,48,85361.00,7518
34,51,85365.00,8466
34,51,85369.00,8466
34,51,85375.00,6760
34,50,85372.00,7518
34,51,85376.00,6139
34,54,85367.00,8466
34,51,85363.00,6760
33,53,85368.00,8466
34,52,85379.00,6139
33,53,85380.00,5622
34,52,85384.00,5622
34,51,85380.00,6760
33,52,85384.00,6139
33,51,85384.00,6760
33,49,85381.00,6139
33,55,85383.00,5184
33,53,85389.00,5184
33,52,85389.00,5622
33,52,85382.00,6760
33,55,85382.00,6139
33,54,85377.00,6139
33,52,85389.00,5184
33,51,85391.00,5184
33,52,85384.00,5622
33,50,85385.00,7518
32,53,85385.00,6760
32,54,85386.00,6760
32,55,85374.00,6760
32,56,85360.00,7518
32,57,85365.00,7518
32,57,85370.00,6760
32,58,85381.00,6760
32,56,85391.00,5622
32,56,85386.00,5622
32,55,85388.00,5184
32,56,85380.00,6760
32,54,85391.00,5184
32,54,85392.00,5184
32,56,85388.00,4809
32,56,85389.00,5184
32,53,85383.00,5622
32,56,85385.00,5184
32,53,85386.00,4809
32,54,85388.00,5184
32,53,85387.00,5184
32,56,85384.00,4809
33,55,85384.00,5184
32,56,85385.00,4809
32,53,85381.00,4809
31,53,85377.00,4809
32,53,85380.00,4809
31,53,85366.00,4809
31,56,85366.00,4809
31,55,85366.00,4809
31,54,85369.00,4809
31,56,85373.00,4484
32,56,85372.00,5622
31,57,85372.00,4809
31,56,85370.00,5184
31,56,85380.00,5184
32,57,85383.00,4484
31,56,85382.00,5184
31,57,85377.00,4484
32,57,85375.00,4484
32,57,85373.00,4484
32,56,85375.00,4809
32,57,85377.00,4200
32,55,85380.00,4809
32,56,85381.00,4484
32,57,85381.00,3949
31,57,85372.00,4484
32,56,85371.00,3949
32,57,85372.00,3949
32,57,85373.00,4484
32,56,85381.00,3949
31,55,85376.00,3949
31,56,85383.00,3949
31,52,85375.00,3949
31,54,85376.00,4200
31,57,85373.00,3725
30,58,85375.00,3949
31,57,85369.00,3725
31,57,85370.00,3949
30,59,85376.00,3949
31,57,85373.00,3725
30,57,85372.00,3725
30,58,85374.00,3725
30,58,85376.00,3725
30,58,85376.00,3725
30,58,85376.00,3725
25,55,85373.00,3725
30,58,85378.00,3526
30,58,85377.00,3526
30,58,85381.00,3346
30,58,85381.00,3526
30,58,85380.00,3184
30,58,85378.00,3184
30,57,85377.00,3526
30,57,85380.00,3184
30,58,85385.00,3036
30,58,85382.00,3036
30,58,85381.00,3346
30,58,85380.00,3184
30,57,85381.00,3184
30,58,85385.00,3036
30,58,85375.00,3184
30,58,85382.00,3036
29,58,85385.00,3036
29,58,85381.00,3526
28,59,85382.00,2901
28,59,85380.00,3036
29,58,85377.00,3036
29,58,85381.00,3036
29,58,85378.00,3036
29,59,85382.00,2901
29,58,85374.00,3036
29,59,85378.00,2901
29,59,85379.00,2901
29,59,85383.00,2901
29,59,85375.00,2901
28,60,85374.00,3036
28,59,85374.00,2901
28,60,85380.00,2777
28,60,85377.00,2777
28,60,85362.00,3036
28,60,85377.00,2777
28,59,85376.00,2777
28,59,85368.00,2901
28,59,85368.00,2777
28,59,85365.00,2901
28,59,85367.00,2777
28,59,85372.00,2777
28,59,85368.00,3036
28,60,85366.00,2901
28,59,85363.00,2901
28,59,85366.00,2901
28,60,85369.00,2777
28,60,85369.00,2777
28,60,85367.00,2777
28,60,85366.00,3184
28,60,85359.00,3184
28,60,85363.00,3526
28,61,85362.00,3346
28,61,85363.00,3184
28,61,85368.00,3184
28,60,85364.00,3036
28,61,85361.00,3184
27,61,85362.00,3184
27,61,85360.00,3346
28,61,85360.00,3346
28,61,85361.00,3036
28,60,85359.00,2901
28,61,85354.00,3346
28,61,85357.00,3036
28,60,85355.00,2901
27,60,85354.00,2901
28,60,85354.00,3036
28,61,85352.00,3036
27,61,85359.00,2901
28,61,85358.00,3036
27,61,85353.00,3036
27,61,85356.00,2901
27,61,85359.00,3184
27,60,85357.00,2901
27,61,85358.00,3036
27,62,85359.00,2901
27,61,85353.00,3036
27,61,85352.00,2901
28,61,85351.00,3346
27,60,85348.00,2901
27,61,85354.00,2901
27,61,85352.00,3036
27,61,85343.00,2901
27,60,85350.00,2777
27,60,85352.00,2901
27,60,85349.00,2901
27,61,85352.00,2901
27,61,85348.00,2777
27,62,85352.00,3036
27,62,85348.00,2901
27,62,85349.00,2777
27,61,85345.00,2777
27,61,85350.00,2901
27,61,85347.00,2777
27,61,85345.00,2901
27,60,85335.00,2901
27,61,85346.00,2901
27,61,85344.00,2901
27,61,85342.00,2901
27,61,85338.00,2901
27,61,85344.00,2777
27,61,85336.00,2901
27,61,85335.00,2777
27,61,85338.00,2901
27,60,85336.00,2777
27,61,85334.00,2901
27,60,85339.00,2901
27,61,85332.00,2777
28,60,85334.00,3036
27,60,85333.00,2901
27,61,85335.00,2777
27,61,85335.00,2901
27,61,85335.00,2777
27,61,85335.00,2901
27,61,85337.00,2777
27,61,85340.00,2901
27,60,85341.00,2777
27,61,85337.00,2777
27,62,85271.00,2777
28,61,85334.00,2777
27,61,85338.00,2777
27,61,85329.00,3184
27,61,85329.00,3036
27,60,85334.00,2901
27,60,85331.00,2664
27,60,85331.00,2777
28,60,85331.00,3036
27,60,85333.00,2901
27,60,85336.00,2901
27,60,85335.00,2901
27,62,85338.00,2777
27,61,85334.00,2777
28,61,85334.00,2901
27,61,85332.00,2777
27,62,85327.00,2901
27,60,85329.00,2901
27,60,85333.00,2901
27,61,85333.00,3036
27,60,85325.00,3036
27,61,85326.00,3036
27,60,85323.00,3036
27,60,85321.00,3184
27,61,85326.00,3346
28,60,85319.00,3346
27,61,85315.00,3036
